,"No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal",Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal
1,0,0,0,5,0,5,0,0,0,0,0,15,0,0,0,0,35,90,105,0,,,,,,0,25,25,0,0,0,0,15,75,20,95,0,15,15,0,30,0,45,15,0,0,50,,,
2,20,0,0,5,0,0,0,0,0,0,0,50,0,0,135,0,50,45,0,0,,,,,,0,20,0,0,5,0,0,25,65,65,45,10,0,0,0,20,70,0,5,65,125,0,,,
3,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,20,0,85,0,,,,,,0,0,0,0,20,0,0,0,0,10,0,0,20,0,0,0,0,0,0,30,30,0,,,
4,0,0,0,5,0,0,0,0,0,0,10,0,0,0,25,0,40,0,255,0,,,,,,0,0,0,30,0,0,0,0,85,0,120,0,0,0,0,0,0,0,0,0,0,0,,,
5,10,0,0,15,0,0,0,0,0,0,0,0,0,0,50,0,35,0,155,0,,,,,,0,0,45,15,0,0,0,60,175,0,0,0,0,0,0,0,0,0,0,80,60,0,,,
6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,190,0,,,,,,10,10,35,0,0,0,160,55,0,20,85,0,20,0,0,40,180,5,50,0,0,0,,,
7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,50,0,195,0,,,,,,90,100,155,15,10,5,120,155,0,35,205,155,100,0,140,150,140,25,95,0,5,0,,,
8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,65,0,0,0,,,,,,100,0,160,10,0,5,120,230,0,15,160,100,55,0,175,165,230,40,20,100,30,0,,,
9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,,,,,,130,180,85,15,0,30,135,185,0,55,200,125,40,0,230,145,235,60,15,85,45,185,,,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,,,,,,0,235,110,20,5,5,140,210,0,25,155,100,30,0,205,145,210,65,5,175,60,215,,,
