,"No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal",Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal
1,1.00000000,1.00000000,1.00000000,0.90909091,1.00000000,0.80000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.92307692,1.00000000,1.00000000,1.00000000,1.00000000,0.66666667,0.53846154,0.08695652,1.00000000,,,,,,1.00000000,0.90909091,0.77272727,1.00000000,1.00000000,,1.00000000,0.72727273,0.46428571,0.60000000,0.54761905,1.00000000,0.78571429,0.25000000,1.00000000,0.62500000,1.00000000,0.64000000,0.88888889,1.00000000,1.00000000,0.74358974,,,
2,0.33333333,1.00000000,1.00000000,0.90000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,,1.00000000,0.76744186,1.00000000,1.00000000,0.27027027,1.00000000,0.37500000,0.80000000,1.00000000,1.00000000,,,,,,1.00000000,0.91304348,1.00000000,1.00000000,0.50000000,1.00000000,1.00000000,0.82758621,0.61764706,0.23529412,0.80851064,0.94871795,1.00000000,1.00000000,1.00000000,0.78947368,0.48148148,1.00000000,0.92307692,0.40909091,0.34210526,1.00000000,,,
3,0.62500000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.94117647,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.85185185,1.00000000,0.15000000,1.00000000,,,,,,1.00000000,1.00000000,1.00000000,1.00000000,0.20000000,1.00000000,,1.00000000,1.00000000,0.66666667,1.00000000,1.00000000,0.42857143,,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.76923077,0.76000000,1.00000000,,,
4,1.00000000,1.00000000,1.00000000,0.91666667,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.87500000,1.00000000,1.00000000,1.00000000,0.79166667,1.00000000,0.74193548,1.00000000,0.00000000,1.00000000,,,,,,1.00000000,1.00000000,1.00000000,0.33333333,1.00000000,1.00000000,1.00000000,1.00000000,0.55263158,1.00000000,0.45454545,1.00000000,1.00000000,,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,,,
5,0.50000000,1.00000000,1.00000000,0.80000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.56521739,1.00000000,0.78125000,1.00000000,0.00000000,1.00000000,,,,,,1.00000000,1.00000000,0.52631579,0.50000000,1.00000000,1.00000000,1.00000000,0.71428571,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.46666667,0.62500000,1.00000000,,,
6,0.80000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.76923077,1.00000000,0.00000000,1.00000000,,,,,,0.90476190,0.95833333,0.00000000,1.00000000,1.00000000,1.00000000,0.20000000,0.77083333,1.00000000,0.55555556,0.60465116,1.00000000,0.50000000,,1.00000000,0.76470588,0.16279070,0.95833333,0.68750000,1.00000000,1.00000000,1.00000000,,,
7,0.85714286,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.76000000,1.00000000,0.60000000,1.00000000,0.00000000,1.00000000,,,,,,0.14285714,0.45945946,0.00000000,0.00000000,0.81818182,0.50000000,0.00000000,0.29545455,,0.00000000,0.00000000,0.16216216,0.20000000,,0.40425532,0.00000000,0.00000000,0.73684211,0.00000000,1.00000000,0.96666667,1.00000000,,,
8,0.80000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.86363636,1.00000000,0.60606061,1.00000000,1.00000000,1.00000000,,,,,,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.66666667,0.00000000,0.00000000,,0.75000000,0.00000000,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000,0.50000000,0.55555556,0.35483871,0.81818182,1.00000000,,,
9,0.57142857,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.78125000,1.00000000,1.00000000,1.00000000,,,,,,0.21212121,0.16279070,0.00000000,0.00000000,1.00000000,0.14285714,0.00000000,0.13953488,1.00000000,0.08333333,0.00000000,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000,0.36842105,0.89285714,0.00000000,0.71875000,0.00000000,,,
10,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.65625000,1.00000000,1.00000000,1.00000000,,,,,,1.00000000,0.00000000,0.00000000,0.33333333,0.50000000,0.85714286,0.00000000,0.12500000,1.00000000,0.00000000,0.00000000,0.00000000,0.25000000,,0.00000000,0.00000000,0.00000000,0.07142857,0.97058824,0.00000000,0.00000000,0.00000000,,,
