,"No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal","No Reversal",Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal,Reversal
1,35,45,125,50,75,20,285,70,215,35,105,180,90,75,220,85,70,105,10,65,,,,,,115,250,85,30,20,0,275,40,65,30,115,180,55,5,220,50,220,80,120,240,210,145,,,
2,10,35,110,45,105,15,190,85,220,0,85,165,130,105,50,60,30,180,240,85,,,,,,215,210,70,40,5,5,15,120,105,20,190,185,25,60,250,75,65,190,60,45,65,205,,,
3,25,40,205,55,60,15,235,70,235,85,80,225,90,85,130,70,115,230,15,45,,,,,,130,255,135,50,5,25,0,230,175,20,225,170,15,0,215,160,140,165,100,100,95,215,,,
4,25,50,180,55,115,15,170,65,240,240,70,210,80,45,95,90,115,200,0,55,,,,,,150,200,110,15,10,20,205,255,105,45,100,195,20,0,135,150,105,110,35,175,160,205,,,
5,10,25,180,60,105,25,185,85,235,195,75,240,70,70,65,70,125,200,0,55,,,,,,150,225,50,15,10,25,165,150,0,55,245,150,20,0,230,170,145,165,105,70,100,225,,,
6,20,65,200,100,20,30,230,75,180,185,70,240,85,85,100,75,100,205,0,65,,,,,,95,230,0,40,20,15,40,185,20,25,130,130,20,0,190,130,35,115,110,165,105,210,,,
7,30,85,200,100,25,30,175,70,185,160,65,205,95,75,95,45,75,220,0,65,,,,,,15,85,0,0,45,5,0,65,0,0,0,30,25,0,95,0,0,70,0,160,145,165,,,
8,20,85,200,100,80,20,150,65,195,210,60,240,85,100,95,65,100,245,175,20,,,,,,0,145,0,0,35,10,0,0,0,45,0,0,0,0,0,0,0,40,25,55,135,190,,,
9,20,60,140,85,40,20,165,70,230,185,65,215,90,85,95,55,125,225,115,55,,,,,,35,35,0,0,80,5,0,30,75,5,0,0,0,0,0,0,0,35,125,0,115,0,,,
10,25,40,180,110,125,20,275,100,200,180,105,195,85,60,135,70,105,245,145,70,,,,,,155,0,0,10,5,30,0,30,105,0,0,0,10,0,0,0,0,5,165,0,0,0,,,
